empty_slots,free_bikes,latitude,longitude,name,timestamp,ebikes,extra.has_ebikes,noOf_normal_bikes,extra.renting,returning,total_slots,key
3,11,49.2731,-123.0732,Charles & Woodland,2024-03-11T17:04:43.945000Z,1,True,10,True,True,14,125
14,2,49.254667,-123.101389,18th & Main,2024-03-11T17:04:44.001000Z,1,True,1,True,True,16,126
8,6,49.256694,-123.096579,Prince Edward & 16th,2024-03-11T17:04:44.013000Z,0,True,6,True,True,14,127
9,5,49.258352,-123.096337,Prince Edward & 14th,2024-03-11T17:04:44.008000Z,1,True,4,True,True,14,128
5,11,49.258817,-123.092797,13th & St George,2024-03-11T17:04:43.763000Z,3,True,8,True,True,16,129
7,7,49.26151,-123.089413,10th & Fraser,2024-03-11T17:04:43.568000Z,3,True,4,True,True,14,130
7,9,49.263382,-123.088837,8th & Fraser,2024-03-11T17:04:43.569000Z,4,True,5,True,True,16,131
7,5,49.261353,-123.085333,St Catherines & 10th,2024-03-11T17:04:43.633000Z,2,True,3,True,True,12,132
13,7,49.264466,-123.085183,St Catherines & 7th,2024-03-11T17:04:43.635000Z,0,True,7,True,True,20,133
8,8,49.280197,-123.065859,Pender & Victoria,2024-03-11T17:04:43.732000Z,1,True,7,True,True,16,134
14,2,49.266725,-123.065925,Victoria & 4th,2024-03-11T17:04:43.729000Z,0,True,2,True,True,16,135
7,5,49.261188,-123.066009,Victoria & 10th,2024-03-11T17:04:43.729000Z,0,True,5,True,True,12,136
11,7,49.256857,-123.065646,15th & Victoria (Trout Lake),2024-03-11T17:04:43.502000Z,1,True,6,True,True,18,137
11,7,49.283986,-123.065264,Triumph & Victoria,2024-03-11T17:04:43.581000Z,0,True,7,True,True,18,138
12,2,49.257985,-123.083366,Windsor & 14th,2024-03-11T17:04:43.598000Z,2,True,0,True,True,14,139
10,6,49.257939,-123.089531,14th & Fraser,2024-03-11T17:04:43.579000Z,2,True,4,True,True,16,140
5,9,49.256496,-123.075426,15th & Knight,2024-03-11T17:04:43.580000Z,1,True,8,True,True,14,141
0,16,49.283236,-123.070443,Commercial & Pandora,2024-03-11T17:04:43.578000Z,2,True,14,True,True,16,142
3,13,49.267266,-123.090786,Carolina & Great Northern Way,2024-03-11T17:04:43.577000Z,0,True,13,True,True,16,143
12,4,49.265242,-123.095577,6th & Prince Edward,2024-03-11T17:04:43.692000Z,1,True,3,True,True,16,144
7,9,49.265213,-123.090785,6th & Carolina,2024-03-11T17:04:43.673000Z,0,True,9,True,True,16,145
17,21,49.302577,-123.155616,Stanley Park - Third Beach Parking Lot,2024-03-11T17:04:43.659000Z,9,True,12,True,True,38,146
13,3,49.277595,-123.09583,Union & Dunlevy,2024-03-11T17:04:44.038000Z,0,True,3,True,True,16,147
10,6,49.279235,-123.087528,Keefer & Hawks,2024-03-11T17:04:44.059000Z,0,True,6,True,True,16,148
8,8,49.277333,-123.087359,Hawks & Union,2024-03-11T17:04:44.090000Z,0,True,8,True,True,16,149
10,12,49.273103,-123.069892,Charles & Commercial,2024-03-11T17:04:43.451000Z,3,True,9,True,True,22,150
12,8,49.261973,-123.09725,10th & Kingsway,2024-03-11T17:04:43.777000Z,4,True,4,True,True,20,151
11,10,49.275295,-123.132585,Beach & Hornby,2024-03-11T17:04:43.500000Z,0,True,10,True,True,22,152
10,17,49.285871,-123.12105,Burrard Station (Melville & Dunsmuir),2024-03-11T17:04:43.890000Z,5,True,12,True,True,28,153
8,6,49.284893,-123.128685,Bute & Barclay,2024-03-11T17:04:43.478000Z,0,True,6,True,True,14,154
13,9,49.263962,-123.112621,8th & Yukon,2024-03-11T17:04:43.733000Z,7,True,2,True,True,22,155
12,0,49.277615,-123.091654,Princess & Union,2024-03-11T17:04:43.702000Z,0,True,0,True,True,12,156
0,22,49.282214,-123.114101,Dunsmuir & Richards,2024-03-11T17:04:43.982000Z,7,True,15,True,True,22,157
7,13,49.266456,-123.100324,5th & Main,2024-03-11T17:04:43.697000Z,3,True,10,True,True,20,158
6,14,49.268216,-123.103168,3rd & Quebec,2024-03-11T17:04:43.664000Z,1,True,13,True,True,20,159
3,13,49.284554,-123.111031,Richards & Cordova,2024-03-11T17:04:43.481000Z,1,True,12,True,True,16,160
8,11,49.280216,-123.117639,Richards & Robson,2024-03-11T17:04:43.501000Z,7,True,4,True,True,20,161
14,13,49.266314,-123.116011,Olympic Village Station,2024-03-11T17:04:43.865000Z,0,True,13,True,True,26,162
7,7,49.280852,-123.084746,Campbell & Hastings,2024-03-11T17:04:43.666000Z,0,True,7,True,True,14,163
13,4,49.285512,-123.1384,Cardero & Davie,2024-03-11T17:04:43.497000Z,3,True,1,True,True,18,164
26,14,49.27821,-123.136972,Aquatic Centre,2024-03-11T17:04:44.058000Z,4,True,10,True,True,40,165
11,11,49.281301,-123.139108,Beach & Broughton,2024-03-11T17:04:44.042000Z,0,True,11,True,True,22,166
5,17,49.283298,-123.142288,Beach & Cardero,2024-03-11T17:04:43.460000Z,1,True,16,True,True,22,167
5,13,49.280787,-123.115271,Georgia & Homer,2024-03-11T17:04:43.466000Z,1,True,12,True,True,18,168
2,16,49.266476,-123.109389,Columbia & 5th,2024-03-11T17:04:43.940000Z,1,True,15,True,True,18,169
3,17,49.290587,-123.13625,Haro & Denman,2024-03-11T17:04:43.496000Z,0,True,17,True,True,20,170
7,11,49.262835,-123.152626,Arbutus & 10th,2024-03-11T17:04:43.957000Z,1,True,10,True,True,18,171
13,1,49.256825,-123.105234,Ontario & 16th,2024-03-11T17:04:43.424000Z,0,True,1,True,True,14,172
1,13,49.275683,-123.124388,Richards & Davie,2024-03-11T17:04:44.057000Z,7,True,6,True,True,14,173
10,8,49.263518,-123.09568,8th & Prince Edward,2024-03-11T17:04:43.645000Z,1,True,7,True,True,18,174
16,4,49.28691,-123.128818,Jervis & Robson,2024-03-11T17:04:44.099000Z,1,True,3,True,True,20,175
16,2,49.282503,-123.124697,Smithe & Burrard,2024-03-11T17:04:43.708000Z,2,True,0,True,True,18,176
19,3,49.283749,-123.136133,Broughton & Davie,2024-03-11T17:04:44.049000Z,3,True,0,True,True,22,177
6,8,49.262944,-123.148109,Cypress & 10th,2024-03-11T17:04:43.853000Z,1,True,7,True,True,14,178
11,21,49.27029,-123.135025,Granville Island,2024-03-11T17:04:43.788000Z,10,True,11,True,True,32,179
4,12,49.280427,-123.074082,McLean & Pender,2024-03-11T17:04:44.087000Z,0,True,12,True,True,16,180
1,17,49.279259,-123.119145,Richards & Smithe,2024-03-11T17:04:43.539000Z,3,True,14,True,True,18,181
4,22,49.285836,-123.127265,Bute & Robson,2024-03-11T17:04:43.427000Z,7,True,15,True,True,26,182
11,9,49.272969,-123.164325,Trafalgar & Cornwall,2024-03-11T17:04:43.833000Z,1,True,8,True,True,20,183
10,14,49.27247,-123.185643,Alma & Point Grey,2024-03-11T17:04:44.097000Z,0,True,14,True,True,24,184
6,8,49.271471,-123.17731,Point Grey & Blenheim,2024-03-11T17:04:43.627000Z,0,True,8,True,True,14,185
10,13,49.290112,-123.127062,Hastings & Broughton,2024-03-11T17:04:43.425000Z,1,True,12,True,True,24,186
5,13,49.263523,-123.155267,Yew & Broadway,2024-03-11T17:04:44.096000Z,0,True,13,True,True,18,187
17,5,49.264928,-123.168068,8th & Macdonald,2024-03-11T17:04:43.661000Z,0,True,5,True,True,22,188
0,17,49.264483,-123.173926,Balaclava & Broadway,2024-03-11T17:04:43.624000Z,1,True,16,True,True,18,189
21,5,49.264579,-123.18373,Dunbar & Broadway,2024-03-11T17:04:44.098000Z,2,True,3,True,True,26,190
9,7,49.263746,-123.069892,Grandview & Commercial,2024-03-11T17:04:44.002000Z,0,True,7,True,True,16,191
12,2,49.258761,-123.127071,14th & Oak,2024-03-11T17:04:43.612000Z,1,True,1,True,True,14,192
6,12,49.268974,-123.190701,Wallace & 4th,2024-03-11T17:04:44.020000Z,0,True,12,True,True,18,193
10,10,49.273011,-123.159663,Balsam & Cornwall,2024-03-11T17:04:43.949000Z,0,True,10,True,True,20,194
3,13,49.266924,-123.173849,Balaclava & 6th,2024-03-11T17:04:43.530000Z,0,True,13,True,True,16,195
6,9,49.264326,-123.164725,Trafalgar & Broadway,2024-03-11T17:04:43.422000Z,0,True,9,True,True,16,196
6,10,49.266636,-123.183661,Dunbar & 6th,2024-03-11T17:04:44.098000Z,2,True,8,True,True,16,197
12,12,49.254818,-123.114785,18th & Cambie,2024-03-11T17:04:43.508000Z,2,True,10,True,True,24,198
22,1,49.268837,-123.177633,Blenheim & 4th,2024-03-11T17:04:43.518000Z,0,True,1,True,True,23,199
10,6,49.255034,-123.120226,18th & Heather,2024-03-11T17:04:43.692000Z,0,True,6,True,True,16,200
12,4,49.271044,-123.170661,Point Grey & Bayswater,2024-03-11T17:04:43.722000Z,1,True,3,True,True,16,201
2,14,49.252691,-123.101289,20th & Main,2024-03-11T17:04:43.529000Z,4,True,10,True,True,16,202
7,11,49.272172,-123.097978,Station & Terminal,2024-03-11T17:04:43.677000Z,0,True,11,True,True,18,203
21,13,49.271082,-123.191458,Jericho Beach,2024-03-11T17:04:44.019000Z,0,True,13,True,True,34,204
12,12,49.27808,-123.130557,Burrard & Drake,2024-03-11T17:04:44.041000Z,4,True,8,True,True,24,205
19,4,49.269969,-123.109623,Columbia & 1st,2024-03-11T17:04:43.759000Z,1,True,3,True,True,24,206
22,8,49.287528,-123.142139,Davie & Beach,2024-03-11T17:04:44.084000Z,3,True,5,True,True,30,207
17,9,49.28803,-123.142135,Morton & Denman,2024-03-11T17:04:43.428000Z,2,True,7,True,True,26,208
14,0,49.259579,-123.114769,13th & Cambie,2024-03-11T17:04:44.101000Z,0,True,0,True,True,14,209
14,4,49.2890705989865,-123.138407369468,Nelson & Denman,2024-03-11T17:04:44.120000Z,0,True,4,True,True,18,210
2,11,49.287782,-123.12395,Melville & Bute,2024-03-11T17:04:43.713000Z,3,True,8,True,True,14,211
5,14,49.28512,-123.11242,Seymour & Cordova,2024-03-11T17:04:43.689000Z,4,True,10,True,True,19,212
15,2,49.247854,-123.153422,Arbutus & Nanton,2024-03-11T17:04:43.912000Z,0,True,2,True,True,18,213
11,4,49.265939,-123.1129,Yukon & 6th,2024-03-11T17:04:43.734000Z,0,True,4,True,True,18,214
12,3,49.261122,-123.097571,11th & Kingsway,2024-03-11T17:04:43.723000Z,3,True,0,True,True,16,215
13,5,49.267725,-123.11311,Wylie & 2nd,2024-03-11T17:04:43.461000Z,0,True,5,True,True,18,216
15,5,49.245135,-123.116098,29th & Cambie,2024-03-11T17:04:43.570000Z,0,True,5,True,True,20,217
3,11,49.274232,-123.129998,Rolston & Granville,2024-03-11T17:04:44.119000Z,6,True,5,True,True,16,218
11,9,49.238105,-123.154966,East Blvd & 37th,2024-03-11T17:04:43.977000Z,5,True,4,True,True,20,219
8,12,49.246243,-123.124373,28th & Willow,2024-03-11T17:04:43.477000Z,2,True,10,True,True,20,220
6,6,49.249722,-123.104991,Ontario & 23rd,2024-03-11T17:04:44.141000Z,2,True,4,True,True,12,221
7,15,49.243375,-123.104978,30th & Ontario,2024-03-11T17:04:44.018000Z,3,True,12,True,True,22,222
14,6,49.282087,-123.056909,Franklin & Nanaimo,2024-03-11T17:04:43.948000Z,0,True,6,True,True,20,223
14,2,49.283968,-123.061615,Lakewood & Triumph,2024-03-11T17:04:43.834000Z,0,True,2,True,True,16,224
6,12,49.287464,-123.060771,Wall & Eton,2024-03-11T17:04:43.519000Z,0,True,12,True,True,18,225
12,6,49.285575,-123.061575,Lakewood & Oxford,2024-03-11T17:04:43.669000Z,0,True,6,True,True,18,226
5,9,49.251358,-123.115637,22nd & Cambie,2024-03-11T17:04:43.516000Z,1,True,8,True,True,14,227
6,12,49.249184,-123.116141,King Edward & Cambie,2024-03-11T17:04:43.571000Z,1,True,11,True,True,18,228
14,8,49.245535,-123.120496,Heather & 29th,2024-03-11T17:04:43.685000Z,2,True,6,True,True,22,229
19,7,49.289255,-123.132677,Cardero & Robson,2024-03-11T17:04:43.498000Z,0,True,7,True,True,26,230
7,12,49.252656,-123.067965,Commercial & 20th,2024-03-11T17:04:43.674000Z,2,True,10,True,True,20,231
12,1,49.259469,-123.145718,Burrard & 14th,2024-03-11T17:04:43.696000Z,0,True,1,True,True,18,232
7,16,49.277178,-123.13,Hornby & Drake,2024-03-11T17:04:43.720000Z,2,True,14,True,True,24,233
6,14,49.291597,-123.129158,Cardero & Bayshore,2024-03-11T17:04:43.613000Z,5,True,9,True,True,20,234
20,2,49.247204,-123.101549,27th & Main,2024-03-11T17:04:44.045000Z,2,True,0,True,True,22,235
0,15,49.2856698,-123.1125432,Cordova & Granville,2024-03-11T17:04:44.062000Z,13,True,2,True,True,18,236
2,12,49.25094,-123.101306,22nd & Main,2024-03-11T17:04:44.052000Z,3,True,9,True,True,14,237
7,11,49.270783,-123.141564,1st & Fir,2024-03-11T17:04:43.521000Z,0,True,11,True,True,20,238
17,5,49.264019,-123.209176,Sasamat & 10th,2024-03-11T17:04:43.454000Z,3,True,2,True,True,22,239
14,6,49.2658,-123.20596,Trimble & 8th,2024-03-11T17:04:43.520000Z,0,True,6,True,True,20,240
19,1,49.265442,-123.187738,Highbury & 8th,2024-03-11T17:04:44.022000Z,1,True,0,True,True,20,241
13,6,49.267561,-123.252261,IK Barber Learning Centre,2024-03-11T17:04:44.024000Z,5,True,1,True,True,20,242
17,11,49.2665793,-123.2485487,War Memorial Gym,2024-03-11T17:04:43.528000Z,9,True,2,True,True,28,243
23,1,49.26262,-123.2431,Pharmaceutical Sciences,2024-03-11T17:04:43.789000Z,1,True,0,True,True,24,244
3,17,49.278529,-123.100017,Georgia & Main,2024-03-11T17:04:43.701000Z,4,True,13,True,True,20,245
15,5,49.282047,-123.133057,Bute & Davie,2024-03-11T17:04:43.772000Z,3,True,2,True,True,20,246
6,14,49.277773,-123.114237,Beatty & Robson,2024-03-11T17:04:44.065000Z,3,True,11,True,True,20,247
17,3,49.263073,-123.254307,West Mall Swing Space Building,2024-03-11T17:04:43.852000Z,2,True,1,True,True,20,248
23,3,49.259999,-123.250902,Orchard Commons,2024-03-11T17:04:43.675000Z,1,True,2,True,True,26,249
23,5,49.25478,-123.23621,Wesbrook Village - Berton & Shrum,2024-03-11T17:04:43.531000Z,4,True,1,True,True,28,250
